29/04/2024 13:50:10|criar_cliente|([PessoaFisica: (1, 'Idarlene')],)|{}|None
29/04/2024 13:52:46|criar_cliente|([PessoaFisica: (1, 'Idarlene'), PessoaFisica: (2, 'Marlucia')],)|{}|None
29/04/2024 13:52:54|criar_cliente|([PessoaFisica: (1, 'Idarlene'), PessoaFisica: (2, 'Marlucia'), PessoaFisica: (3, 'Pedro')],)|{}|None
29/04/2024 13:52:57|criar_contas|()|{'numero_contas': 1, 'contas': [ContaCorrente: ('4034', '1', 'Idarlene', '1')], 'clientes': [PessoaFisica: (1, 'Idarlene'), PessoaFisica: (2, 'Marlucia'), PessoaFisica: (3, 'Pedro')]}|None
29/04/2024 13:57:04|criar_contas|()|{'numero_contas': 2, 'contas': [ContaCorrente: ('4034', '1', 'Idarlene', '1'), ContaCorrente: ('4034', '2', 'Marlucia', '2')], 'clientes': [PessoaFisica: (1, 'Idarlene'), PessoaFisica: (2, 'Marlucia'), PessoaFisica: (3, 'Pedro')]}|None
29/04/2024 13:57:14|criar_contas|()|{'numero_contas': 3, 'contas': [ContaCorrente: ('4034', '1', 'Idarlene', '1'), ContaCorrente: ('4034', '2', 'Marlucia', '2'), ContaCorrente: ('4034', '3', 'Pedro', '3')], 'clientes': [PessoaFisica: (1, 'Idarlene'), PessoaFisica: (2, 'Marlucia'), PessoaFisica: (3, 'Pedro')]}|None
29/04/2024 13:57:31|criar_contas|()|{'numero_contas': 4, 'contas': [ContaCorrente: ('4034', '1', 'Idarlene', '1'), ContaCorrente: ('4034', '2', 'Marlucia', '2'), ContaCorrente: ('4034', '3', 'Pedro', '3'), ContaCorrente: ('4034', '4', 'Idarlene', '1')], 'clientes': [PessoaFisica: (1, 'Idarlene'), PessoaFisica: (2, 'Marlucia'), PessoaFisica: (3, 'Pedro')]}|None
29/04/2024 14:03:09|criar_cliente|([PessoaFisica: (1, 'Idarlene'), PessoaFisica: (2, 'Marlucia'), PessoaFisica: (3, 'Pedro')],)|{}|None
29/04/2024 14:03:39|criar_cliente|([PessoaFisica: (1, 'Idarlene'), PessoaFisica: (2, 'Marlucia'), PessoaFisica: (3, 'Pedro'), PessoaFisica: (5, 'Fernando')],)|{}|None
29/04/2024 14:03:46|criar_contas|()|{'numero_contas': 5, 'contas': [ContaCorrente: ('4034', '1', 'Idarlene', '1'), ContaCorrente: ('4034', '2', 'Marlucia', '2'), ContaCorrente: ('4034', '3', 'Pedro', '3'), ContaCorrente: ('4034', '4', 'Idarlene', '1'), ContaCorrente: ('4034', '5', 'Fernando', '5')], 'clientes': [PessoaFisica: (1, 'Idarlene'), PessoaFisica: (2, 'Marlucia'), PessoaFisica: (3, 'Pedro'), PessoaFisica: (5, 'Fernando')]}|None
30/04/2024 11:05:59|criar_cliente|([PessoaFisica: (1, 'Idarlene'), PessoaFisica: (2, 'Marlucia'), PessoaFisica: (3, 'Pedro'), PessoaFisica: (5, 'Fernando')],)|{}|None
30/04/2024 11:06:08|criar_cliente|([PessoaFisica: (1, 'Idarlene'), PessoaFisica: (2, 'Marlucia'), PessoaFisica: (3, 'Pedro'), PessoaFisica: (5, 'Fernando'), PessoaFisica: (8, 'teste')],)|{}|None
30/04/2024 11:06:14|criar_contas|(6, [PessoaFisica: (1, 'Idarlene'), PessoaFisica: (2, 'Marlucia'), PessoaFisica: (3, 'Pedro'), PessoaFisica: (5, 'Fernando'), PessoaFisica: (8, 'teste')], [ContaCorrente: ('4034', '1', 'Idarlene', '1'), ContaCorrente: ('4034', '2', 'Marlucia', '2'), ContaCorrente: ('4034', '3', 'Pedro', '3'), ContaCorrente: ('4034', '4', 'Idarlene', '1'), ContaCorrente: ('4034', '5', 'Fernando', '5'), ContaCorrente: ('4034', '6', 'teste', '8')])|{}|None
30/04/2024 11:06:21|depositar|([PessoaFisica: (1, 'Idarlene'), PessoaFisica: (2, 'Marlucia'), PessoaFisica: (3, 'Pedro'), PessoaFisica: (5, 'Fernando'), PessoaFisica: (8, 'teste')],)|{}|None
30/04/2024 11:06:26|sacar|([PessoaFisica: (1, 'Idarlene'), PessoaFisica: (2, 'Marlucia'), PessoaFisica: (3, 'Pedro'), PessoaFisica: (5, 'Fernando'), PessoaFisica: (8, 'teste')],)|{}|None
